episode,reward,latency_ms,energy_j,loss,agent,seed,w_latency,w_energy,iot_nodes,arrival_rate
0,-1.9544551981865523,58.32265328169096,1.9922945803213241,,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,-2.1823621411347163,71.1567537758901,3.7664646110893756,16.445221440545446,Proposed-HierDDQN,0,0.5,0.5,10,5.0
2,-1.8638375870389607,79.03440850332355,1.618537127563442,8.197683016459147,Proposed-HierDDQN,0,0.5,0.5,10,5.0
3,-2.1808817120377806,73.728988032485,1.9878234422910128,5.68169546922048,Proposed-HierDDQN,0,0.5,0.5,10,5.0
4,-2.1098890926301133,78.97469301147609,1.98346585313957,5.8512738386789955,Proposed-HierDDQN,0,0.5,0.5,10,5.0
5,-1.788163814333794,61.418937014675265,1.502090505205168,4.044897683461508,Proposed-HierDDQN,0,0.5,0.5,10,5.0
6,-1.7234878427770124,69.35368751700985,1.9544557240822236,3.3818637053171794,Proposed-HierDDQN,0,0.5,0.5,10,5.0
7,-1.464917309339241,51.693799333180365,2.6187328705934094,3.2982083598772687,Proposed-HierDDQN,0,0.5,0.5,10,5.0
8,-1.8484266507086708,77.2131167719735,1.5718645841752343,3.1941145857175193,Proposed-HierDDQN,0,0.5,0.5,10,5.0
9,-1.9935100910091421,81.52512617072306,2.179396320767736,2.643746097882589,Proposed-HierDDQN,0,0.5,0.5,10,5.0
10,-1.7995265389917656,66.31875193499114,2.550837619607016,2.938501063982646,Proposed-HierDDQN,0,0.5,0.5,10,5.0
11,-1.8697398493940425,65.67289951899282,2.0565500432713972,4.3027664502461755,Proposed-HierDDQN,0,0.5,0.5,10,5.0
12,-1.9319464964038149,89.10593730862692,1.535385709430571,3.7813841938972472,Proposed-HierDDQN,0,0.5,0.5,10,5.0
13,-1.1742263172200451,49.562572089469114,1.4655259612208948,3.7750605821609495,Proposed-HierDDQN,0,0.5,0.5,10,5.0
14,-1.8838630800072067,61.49741077885985,1.644690010500755,4.288915232817332,Proposed-HierDDQN,0,0.5,0.5,10,5.0
0,-2.2574183909816656,70.42292219829665,2.01632381119653,,Proposed-HierDDQN,1,0.5,0.5,10,5.0
1,-1.64012345715468,58.2092289794397,3.0024590713073733,12.324308658468313,Proposed-HierDDQN,1,0.5,0.5,10,5.0
2,-1.8232803597455542,68.72094962360934,2.2791686383387506,7.092878802617391,Proposed-HierDDQN,1,0.5,0.5,10,5.0
